Vgs,Id,gm,gds,cgg,vth,Length,Width
0,2.79588E-10,0.00000000788697,2.049894E-10,6.299177E-16,0.4103404,0.00000015,5.00E-06
0.1,0.000000004777366,0.0000001361953,0.00000000346397,5.945187E-16,0.4103404,0.00000015,5.00E-06
0.2,0.00000008343349,0.000002390697,0.00000006226766,5.687181E-16,0.4103404,0.00000015,5.00E-06
0.3,0.00000142477,0.00003931693,0.000001078561,6.103617E-16,0.4103404,0.00000015,5.00E-06
0.4,0.00001590754,0.0003026575,0.0000107597,1.181373E-15,0.4103404,0.00000015,5.00E-06
0.5,0.00006823266,0.0007811896,0.00003143074,2.131138E-15,0.4103404,0.00000015,5.00E-06
0.6,0.0001806824,0.001498622,0.00005560647,2.659869E-15,0.4103404,0.00000015,5.00E-06
0.7,0.000370565,0.002296106,0.00008495246,2.991512E-15,0.4103404,0.00000015,5.00E-06
0.8,0.0006369639,0.00300847,0.0001188921,3.257663E-15,0.4103404,0.00000015,5.00E-06
0.9,0.000966694,0.003556277,0.000156958,3.477631E-15,0.4103404,0.00000015,5.00E-06
1,0.001342376,0.003929932,0.0002005059,3.652606E-15,0.4103404,0.00000015,5.00E-06
1.1,0.001747742,0.004155665,0.0002519824,3.789862E-15,0.4103404,0.00000015,5.00E-06
1.2,0.002169743,0.004268237,0.0003139361,3.899227E-15,0.4103404,0.00000015,5.00E-06
1.3,0.002598643,0.004298156,0.0003885654,3.989159E-15,0.4103404,0.00000015,5.00E-06
1.4,0.003027401,0.004268662,0.0004775558,4.06583E-15,0.4103404,0.00000015,5.00E-06
1.5,0.003450961,0.004196565,0.000582027,4.133421E-15,0.4103404,0.00000015,5.00E-06
1.6,0.003865698,0.004093895,0.0007025314,4.19463E-15,0.4103404,0.00000015,5.00E-06
1.7,0.004269014,0.003969352,0.0008390882,4.251127E-15,0.4103404,0.00000015,5.00E-06
1.8,0.004659056,0.003829355,0.000991243,4.303899E-15,0.4103404,0.00000015,5.00E-06
1.9,0.005034532,0.003678747,0.001158143,4.353499E-15,0.4103404,0.00000015,5.00E-06
2,0.005394577,0.003521263,0.001338619,4.400217E-15,0.4103404,0.00000015,5.00E-06
2.1,0.005738655,0.003359828,0.001531269,4.444193E-15,0.4103404,0.00000015,5.00E-06
2.2,0.00606649,0.003196758,0.001734538,4.48549E-15,0.4103404,0.00000015,5.00E-06
0,2.194364E-10,0.000000006791806,1.178187E-10,7.141944E-16,0.2895441,0.0000005,5.00E-06
0.1,0.000000004907297,0.0000001528376,0.00000000269864,6.85826E-16,0.2895441,0.0000005,5.00E-06
