 @n.xm1.nsg13_lv_nmos[l] @n.xm1.nsg13_lv_nmos[cdd] @n.xm1.nsg13_lv_nmos[cgd] @n.xm1.nsg13_lv_nmos[cgg] @n.xm1.nsg13_lv_nmos[cgs] @n.xm1.nsg13_lv_nmos[gds] @n.xm1.nsg13_lv_nmos[gm] @n.xm1.nsg13_lv_nmos[ids] @n.xm1.nsg13_lv_nmos[l] @n.xm1.nsg13_lv_nmos[vth] @vd[dc]         @vg[dc]        
 1.30000000e-07  6.81839128e-21  1.73183926e-19  4.50438074e-16  1.73183927e-19  1.70991175e-09 -3.77990474e-14  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  0.00000000e+00 
 1.30000000e-07  1.01198688e-19  2.89629145e-19  4.23462809e-16  2.89629149e-19  2.53083824e-08 -6.56743432e-14  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  1.00000000e-01 
 1.30000000e-07  1.54599988e-18  2.23083988e-18  4.04253210e-16  2.23084004e-18  3.86040026e-07 -1.20167667e-13  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  2.00000000e-01 
 1.30000000e-07  2.34409722e-17  3.19635935e-17  4.37565497e-16  3.19635975e-17  5.94831526e-06 -3.10428920e-13  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  3.00000000e-01 
 1.30000000e-07  2.46228720e-16  3.36283317e-16  9.62443707e-16  3.36283307e-16  7.72996492e-05 -1.58663404e-12  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  4.00000000e-01 
 1.30000000e-07  7.22180745e-16  9.89857317e-16  2.12282812e-15  9.89857317e-16  4.62602485e-04 -5.97413373e-12  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  5.00000000e-01 
 1.30000000e-07  9.76199878e-16  1.34130953e-15  2.75636179e-15  1.34130953e-15  1.27696784e-03 -1.38898991e-11  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  6.00000000e-01 
 1.30000000e-07  1.09312305e-15  1.50446671e-15  3.05587828e-15  1.50446671e-15  2.38219778e-03 -2.81171828e-11  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  7.00000000e-01 
 1.30000000e-07  1.15848844e-15  1.59623537e-15  3.22730555e-15  1.59623537e-15  3.61504660e-03 -5.35222934e-11  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  8.00000000e-01 
 1.30000000e-07  1.20073614e-15  1.65569149e-15  3.33995274e-15  1.65569149e-15  4.85391473e-03 -9.75158630e-11  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  9.00000000e-01 
 1.30000000e-07  1.23062553e-15  1.69771903e-15  3.42042842e-15  1.69771903e-15  6.02553077e-03 -1.71168659e-10  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  1.00000000e+00 
 1.30000000e-07  1.25301380e-15  1.72909465e-15  3.48097088e-15  1.72909465e-15  7.09387509e-03 -2.90417306e-10  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  1.10000000e+00 
 1.30000000e-07  1.27042455e-15  1.75337098e-15  3.52807081e-15  1.75337098e-15  8.04674933e-03 -4.77225394e-10  0.00000000e+00  1.30000000e-07  4.36045349e-01  0.00000000e+00  1.20000000e+00 
 1.30000000e-07  2.88814853e-22 -9.93224469e-19  4.50395727e-16  1.27791290e-18  1.76171212e-10  1.48367864e-09  5.52626058e-11  1.30000000e-07  4.35913712e-01  1.00000000e-01  0.00000000e+00 
 1.30000000e-07  4.28583816e-21 -9.28018190e-19  4.23326643e-16  1.33347124e-18  2.73641603e-09  2.24151175e-08  8.24427057e-10  1.30000000e-07  4.35913712e-01  1.00000000e-01  1.00000000e-01 
 1.30000000e-07  6.55816893e-20 -7.97364392e-19  4.02563573e-16  3.30920667e-18  4.36530715e-08  3.47844553e-07  1.26736310e-08  1.30000000e-07  4.35913712e-01  1.00000000e-01  2.00000000e-01 
 1.30000000e-07  1.02333168e-18  5.14001631e-19  4.12113415e-16  3.45505351e-17  7.01185530e-07  5.41519004e-06  1.97783057e-07  1.30000000e-07  4.35913712e-01  1.00000000e-01  3.00000000e-01 
 1.30000000e-07  1.50301634e-17  1.90570626e-17  7.15364395e-16  3.75525171e-16  9.55867549e-06  6.73895547e-05  2.76510265e-06  1.30000000e-07  4.35913712e-01  1.00000000e-01  4.00000000e-01 
 1.30000000e-07  1.33741859e-16  1.73167860e-16  1.62692071e-15  1.25305402e-15  7.43523464e-05  3.41214748e-04  2.11727765e-05  1.30000000e-07  4.35913712e-01  1.00000000e-01  5.00000000e-01 
 1.30000000e-07  4.21528913e-16  5.51157539e-16  2.40816578e-15  1.74672107e-15  3.51515095e-04  7.39163054e-04  7.52676349e-05  1.30000000e-07  4.35913712e-01  1.00000000e-01  6.00000000e-01 
 1.30000000e-07  6.75251266e-16  8.95782632e-16  2.85122430e-15  1.88961806e-15  9.90865842e-04  1.04080316e-03  1.65557092e-04  1.30000000e-07  4.35913712e-01  1.00000000e-01  7.00000000e-01 
 1.30000000e-07  8.43186446e-16  1.13006117e-15  3.10013931e-15  1.92512210e-15  1.93630623e-03  1.18547139e-03  2.78100407e-04  1.30000000e-07  4.35913712e-01  1.00000000e-01  8.00000000e-01 
 1.30000000e-07  9.53903437e-16  1.28713231e-15  3.25469676e-15  1.93317919e-15  3.04397965e-03  1.20664876e-03  3.98526284e-04  1.30000000e-07  4.35913712e-01  1.00000000e-01  9.00000000e-01 
 1.30000000e-07  1.03057426e-15  1.39700482e-15  3.35956249e-15  1.93398776e-15  4.19330492e-03  1.15239770e-03  5.16930765e-04  1.30000000e-07  4.35913712e-01  1.00000000e-01  1.00000000e+00 
 1.30000000e-07  1.08640654e-15  1.47746514e-15  3.43545588e-15  1.93286822e-15  5.30803855e-03  1.05977744e-03  6.27742249e-04  1.30000000e-07  4.35913712e-01  1.00000000e-01  1.10000000e+00 
 1.30000000e-07  1.12871977e-15  1.53860682e-15  3.49288326e-15  1.93133684e-15  6.34705347e-03  9.52467641e-04  7.28407809e-04  1.30000000e-07  4.35913712e-01  1.00000000e-01  1.20000000e+00 
 1.30000000e-07  4.97812586e-23 -1.27703990e-18  4.50317579e-16  1.48021393e-18  1.53258350e-10  1.91313542e-09  7.08679622e-11  1.30000000e-07  4.35652648e-01  2.00000000e-01  0.00000000e+00 
 1.30000000e-07  7.37375759e-22 -1.19920752e-18  4.23256561e-16  1.52140874e-18  2.46925533e-09  2.93153553e-08  1.07268278e-09  1.30000000e-07  4.35652648e-01  2.00000000e-01  1.00000000e-01 
 1.30000000e-07  1.12670655e-20 -1.12331179e-18  4.02414254e-16  3.45360450e-18  4.06906514e-08  4.60875432e-07  1.67140498e-08  1.30000000e-07  4.35652648e-01  2.00000000e-01  2.00000000e-01 
 1.30000000e-07  1.75740304e-19 -8.83422308e-19  4.10563091e-16  3.41692510e-17  6.67152102e-07  7.22657877e-06  2.63505849e-07  1.30000000e-07  4.35652648e-01  2.00000000e-01  3.00000000e-01 
 1.30000000e-07  2.59946221e-18  2.01254486e-18  6.94344565e-16  3.68832851e-16  8.36251503e-06  8.61746312e-05  3.61487602e-06  1.30000000e-07  4.35652648e-01  2.00000000e-01  4.00000000e-01 
 1.30000000e-07  2.51129673e-17  3.00486269e-17  1.48395295e-15  1.23608351e-15  4.08832410e-05  4.18057462e-04  2.62565996e-05  1.30000000e-07  4.35652648e-01  2.00000000e-01  5.00000000e-01 
 1.30000000e-07  1.20163958e-16  1.50260835e-16  2.11524438e-15  1.82210562e-15  1.26323402e-04  9.99038432e-04  9.58017561e-05  1.30000000e-07  4.35652648e-01  2.00000000e-01  6.00000000e-01 
 1.30000000e-07  2.91481632e-16  3.72301804e-16  2.56954242e-15  2.10270726e-15  3.60004285e-04  1.60077800e-03  2.26737193e-04  1.30000000e-07  4.35652648e-01  2.00000000e-01  7.00000000e-01 
 1.30000000e-07  4.67313207e-16  6.06807256e-16  2.88252444e-15  2.21078327e-15  8.35292657e-04  2.01061283e-03  4.09323691e-04  1.30000000e-07  4.35652648e-01  2.00000000e-01  8.00000000e-01 
 1.30000000e-07  6.13877139e-16  8.06833083e-16  3.09264060e-15  2.23815532e-15  1.53844997e-03  2.18763594e-03  6.20994880e-04  1.30000000e-07  4.35652648e-01  2.00000000e-01  9.00000000e-01 
 1.30000000e-07  7.30020871e-16  9.68033059e-16  3.23707234e-15  2.23149175e-15  2.39111734e-03  2.19008293e-03  8.41029407e-04  1.30000000e-07  4.35652648e-01  2.00000000e-01  1.00000000e+00 
 1.30000000e-07  8.22112469e-16  1.09740147e-15  3.34059409e-15  2.21174941e-15  3.31418208e-03  2.08673006e-03  1.05550730e-03  1.30000000e-07  4.35652648e-01  2.00000000e-01  1.10000000e+00 
 1.30000000e-07  8.96060390e-16  1.20218291e-15  3.41780426e-15  2.18804228e-15  4.24895081e-03  1.92878588e-03  1.25657666e-03  1.30000000e-07  4.35652648e-01  2.00000000e-01  1.20000000e+00 
 1.30000000e-07  2.19352461e-23 -1.35869229e-18  4.50229303e-16  1.47180837e-18  1.58149979e-10  2.34458453e-09  8.64203644e-11  1.30000000e-07  4.35357751e-01  3.00000000e-01  0.00000000e+00 
 1.30000000e-07  3.23960498e-22 -1.27648950e-18  4.23182741e-16  1.51266124e-18  2.57234689e-09  3.63874559e-08  1.32535531e-09  1.30000000e-07  4.35357751e-01  3.00000000e-01  1.00000000e-01 
 1.30000000e-07  4.93861939e-21 -1.20461282e-18  4.02333412e-16  3.43185842e-18  4.27897309e-08  5.78677300e-07  2.09007912e-08  1.30000000e-07  4.35357751e-01  3.00000000e-01  2.00000000e-01 
 1.30000000e-07  7.69775787e-20 -1.08838948e-18  4.10195374e-16  3.39342301e-17  7.05918410e-07  9.12658663e-06  3.32396025e-07  1.30000000e-07  4.35357751e-01  3.00000000e-01  3.00000000e-01 
 1.30000000e-07  1.14536024e-18 -2.53491259e-20  6.89379170e-16  3.65190512e-16  8.66913720e-06  1.03969026e-04  4.46823469e-06  1.30000000e-07  4.35357751e-01  3.00000000e-01  4.00000000e-01 
 1.30000000e-07  1.03957187e-17  1.08771265e-17  1.44698315e-15  1.21365629e-15  3.74420267e-05  4.60509770e-04  3.01330122e-05  1.30000000e-07  4.35357751e-01  3.00000000e-01  5.00000000e-01 
 1.30000000e-07  4.70081359e-17  5.60955549e-17  1.99727326e-15  1.78481168e-15  8.89012358e-05  1.09503192e-03  1.06106840e-04  1.30000000e-07  4.35357751e-01  3.00000000e-01  6.00000000e-01 
 1.30000000e-07  1.29468601e-16  1.59887761e-16  2.38646370e-15  2.11279809e-15  1.93733535e-04  1.83162758e-03  2.52603968e-04  1.30000000e-07  4.35357751e-01  3.00000000e-01  7.00000000e-01 
 1.30000000e-07  2.43088502e-16  3.06274833e-16  2.69213604e-15  2.30283494e-15  4.11860396e-04  2.43954905e-03  4.67991484e-04  1.30000000e-07  4.35357751e-01  3.00000000e-01  8.00000000e-01 
 1.30000000e-07  3.61517032e-16  4.62309480e-16  2.92183436e-15  2.39741638e-15  7.85683778e-04  2.79913621e-03  7.32067957e-04  1.30000000e-07  4.35357751e-01  3.00000000e-01  9.00000000e-01 
 1.30000000e-07  4.71607506e-16  6.10103624e-16  3.09052142e-15  2.43182230e-15  1.30642925e-03  2.92772615e-03  1.02007160e-03  1.30000000e-07  4.35357751e-01  3.00000000e-01  1.00000000e+00 
 1.30000000e-07  5.69850078e-16  7.44014198e-16  3.21609577e-15  2.43215744e-15  1.93684124e-03  2.89289373e-03  1.31217579e-03  1.30000000e-07  4.35357751e-01  3.00000000e-01  1.10000000e+00 
 1.30000000e-07  6.56235728e-16  8.63221805e-16  3.31207278e-15  2.41462681e-15  2.63571583e-03  2.75812207e-03  1.59533984e-03  1.30000000e-07  4.35357751e-01  3.00000000e-01  1.20000000e+00 
 1.30000000e-07  1.35184799e-23 -1.39081460e-18  4.50137662e-16  1.41093483e-18  1.59390224e-10  2.78492866e-09  1.02249404e-10  1.30000000e-07  4.35051568e-01  4.00000000e-01  0.00000000e+00 
 1.30000000e-07  1.99004412e-22 -1.30686665e-18  4.23106947e-16  1.45515576e-18  2.60124255e-09  4.36589659e-08  1.58449728e-09  1.30000000e-07  4.35051568e-01  4.00000000e-01  1.00000000e-01 
 1.30000000e-07  3.02607585e-21 -1.23585492e-18  4.02263339e-16  3.37237536e-18  4.34688120e-08  7.00548803e-07  2.52230371e-08  1.30000000e-07  4.35051568e-01  4.00000000e-01  2.00000000e-01 
 1.30000000e-07  4.71844258e-20 -1.15672543e-18  4.10031415e-16  3.37929588e-17  7.19213301e-07  1.10969154e-05  4.03817269e-07  1.30000000e-07  4.35051568e-01  4.00000000e-01  3.00000000e-01 
 1.30000000e-07  7.16420383e-19 -6.32335268e-19  6.87118209e-16  3.63157565e-16  8.73570384e-06  1.21800339e-04  5.34020594e-06  1.30000000e-07  4.35051568e-01  4.00000000e-01  4.00000000e-01 
 1.30000000e-07  6.40503131e-18  5.71434770e-18  1.42981864e-15  1.19936321e-15  3.58683702e-05  4.96284672e-04  3.37956531e-05  1.30000000e-07  4.35051568e-01  4.00000000e-01  5.00000000e-01 
 1.30000000e-07  2.61564847e-17  2.97063798e-17  1.94531316e-15  1.75308583e-15  7.75724765e-05  1.15436998e-03  1.14354940e-04  1.30000000e-07  4.35051568e-01  4.00000000e-01  6.00000000e-01 
 1.30000000e-07  6.97631203e-17  8.35539165e-17  2.28942791e-15  2.08161663e-15  1.45084385e-04  1.94498750e-03  2.69131521e-04  1.30000000e-07  4.35051568e-01  4.00000000e-01  7.00000000e-01 
 1.30000000e-07  1.36901860e-16  1.67912462e-16  2.56855093e-15  2.30557830e-15  2.63685987e-04  2.65427945e-03  5.00555950e-04  1.30000000e-07  4.35051568e-01  4.00000000e-01  8.00000000e-01 
 1.30000000e-07  2.16769854e-16  2.70199295e-16  2.79178177e-15  2.44826403e-15  4.66358827e-04  3.14048690e-03  7.92392913e-04  1.30000000e-07  4.35051568e-01  4.00000000e-01  9.00000000e-01 
 1.30000000e-07  3.00348921e-16  3.79155195e-16  2.96407255e-15  2.52670795e-15  7.68822456e-04  3.38590500e-03  1.12055412e-03  1.30000000e-07  4.35051568e-01  4.00000000e-01  1.00000000e+00 
 1.30000000e-07  3.82934107e-16  4.88524126e-16  3.09724743e-15  2.56071846e-15  1.16500915e-03  3.44133818e-03  1.46323568e-03  1.30000000e-07  4.35051568e-01  4.00000000e-01  1.10000000e+00 
 1.30000000e-07  4.62178915e-16  5.94936360e-16  3.20237403e-15  2.56639073e-15  1.63770284e-03  3.36761290e-03  1.80453148e-03  1.30000000e-07  4.35051568e-01  4.00000000e-01  1.20000000e+00 
 1.30000000e-07  9.38247435e-24 -1.40629331e-18  4.50044586e-16  1.33214830e-18  1.58480608e-10  3.22465804e-09  1.18036646e-10  1.30000000e-07  4.34740454e-01  5.00000000e-01  0.00000000e+00 
 1.30000000e-07  1.37605063e-22 -1.32152470e-18  4.23030272e-16  1.38108257e-18  2.58672908e-09  5.09524298e-08  1.84405865e-09  1.30000000e-07  4.34740454e-01  5.00000000e-01  1.00000000e-01 
 1.30000000e-07  2.08645500e-21 -1.25097047e-18  4.02197278e-16  3.30134256e-18  4.33450283e-08  8.23206463e-07  2.95681109e-08  1.30000000e-07  4.34740454e-01  5.00000000e-01  2.00000000e-01 
 1.30000000e-07  3.25709851e-20 -1.19012239e-18  4.09944943e-16  3.37043056e-17  7.18325377e-07  1.30819223e-05  4.75772804e-07  1.30000000e-07  4.34740454e-01  5.00000000e-01  3.00000000e-01 
 1.30000000e-07  5.10147906e-19 -9.24172568e-19  6.85837071e-16  3.61910724e-16  8.65227494e-06  1.39385255e-04  6.21043550e-06  1.30000000e-07  4.34740454e-01  5.00000000e-01  4.00000000e-01 
 1.30000000e-07  4.65857190e-18  3.46828214e-18  1.41887451e-15  1.18910755e-15  3.44409880e-05  5.28834533e-04  3.73106925e-05  1.30000000e-07  4.34740454e-01  5.00000000e-01  5.00000000e-01 
 1.30000000e-07  1.78484026e-17  1.93144204e-17  1.91594934e-15  1.73047960e-15  7.12820856e-05  1.20168958e-03  1.21777266e-04  1.30000000e-07  4.34740454e-01  5.00000000e-01  6.00000000e-01 
 1.30000000e-07  4.47791474e-17  5.21719847e-17  2.23449689e-15  2.05193816e-15  1.24460138e-04  2.01907872e-03  2.82496585e-04  1.30000000e-07  4.34740454e-01  5.00000000e-01  7.00000000e-01 
 1.30000000e-07  8.67155041e-17  1.03905918e-16  2.49255377e-15  2.28597553e-15  2.03930935e-04  2.77729390e-03  5.23547339e-04  1.30000000e-07  4.34740454e-01  5.00000000e-01  8.00000000e-01 
 1.30000000e-07  1.39349557e-16  1.69797564e-16  2.70394844e-15  2.45309461e-15  3.27220273e-04  3.33629215e-03  8.31180257e-04  1.30000000e-07  4.34740454e-01  5.00000000e-01  9.00000000e-01 
 1.30000000e-07  1.98182568e-16  2.44597355e-16  2.87067808e-15  2.56068842e-15  5.10227978e-04  3.66297975e-03  1.18298403e-03  1.30000000e-07  4.34740454e-01  5.00000000e-01  1.00000000e+00 
 1.30000000e-07  2.60469587e-16  3.24974372e-16  3.00190833e-15  2.62244673e-15  7.58485724e-04  3.79432208e-03  1.55725074e-03  1.30000000e-07  4.34740454e-01  5.00000000e-01  1.10000000e+00 
 1.30000000e-07  3.24426615e-16  4.08671320e-16  3.10753076e-15  2.65196986e-15  1.06890494e-03  3.78434081e-03  1.93714780e-03  1.30000000e-07  4.34740454e-01  5.00000000e-01  1.20000000e+00 
 1.30000000e-07  6.79744863e-24 -1.41478403e-18  4.49950798e-16  1.24573373e-18  1.56833948e-10  3.65897582e-09  1.33622549e-10  1.30000000e-07  4.34426777e-01  6.00000000e-01  0.00000000e+00 
 1.30000000e-07  9.92312447e-23 -1.32958769e-18  4.22953175e-16  1.30000293e-18  2.55302755e-09  5.81794631e-08  2.10102565e-09  1.30000000e-07  4.34426777e-01  6.00000000e-01  1.00000000e-01 
 1.30000000e-07  1.49925857e-21 -1.25939403e-18  4.02133513e-16  3.22622949e-18  4.28558387e-08  9.45017725e-07  3.38799822e-08  1.30000000e-07  4.34426777e-01  6.00000000e-01  2.00000000e-01 
 1.30000000e-07  2.34496032e-20 -1.21010194e-18  4.09901614e-16  3.36509676e-17  7.10887668e-07  1.50538415e-05  5.47268081e-07  1.30000000e-07  4.34426777e-01  6.00000000e-01  3.00000000e-01 
 1.30000000e-07  3.83243240e-19 -1.10345674e-18  6.85079292e-16  3.61139470e-16  8.50078705e-06  1.56564385e-04  7.06843687e-06  1.30000000e-07  4.34426777e-01  6.00000000e-01  4.00000000e-01 
 1.30000000e-07  3.65761222e-18  2.18478531e-18  1.41080729e-15  1.18110563e-15  3.30702637e-05  5.59049044e-04  4.06856894e-05  1.30000000e-07  4.34426777e-01  6.00000000e-01  5.00000000e-01 
 1.30000000e-07  1.35651090e-17  1.39979487e-17  1.89614816e-15  1.71342843e-15  6.66310274e-05  1.24288084e-03  1.28663997e-04  1.30000000e-07  4.34426777e-01  6.00000000e-01  6.00000000e-01 
 1.30000000e-07  3.23353783e-17  3.67450352e-17  2.19945972e-15  2.02826723e-15  1.12285189e-04  2.07693571e-03  2.94293021e-04  1.30000000e-07  4.34426777e-01  6.00000000e-01  7.00000000e-01 
 1.30000000e-07  6.08043141e-17  7.14167934e-17  2.44359211e-15  2.26442750e-15  1.73770730e-04  2.86055207e-03  5.42290768e-04  1.30000000e-07  4.34426777e-01  6.00000000e-01  8.00000000e-01 
 1.30000000e-07  9.68488277e-17  1.15729278e-16  2.64525971e-15  2.44314888e-15  2.58998678e-04  3.45959562e-03  8.60132027e-04  1.30000000e-07  4.34426777e-01  6.00000000e-01  9.00000000e-01 
 1.30000000e-07  1.38187934e-16  1.67179907e-16  2.80515279e-15  2.56743802e-15  3.78836341e-04  3.83709606e-03  1.22675003e-03  1.30000000e-07  4.34426777e-01  6.00000000e-01  1.00000000e+00 
 1.30000000e-07  1.83611570e-16  2.24466085e-16  2.93123713e-15  2.64743746e-15  5.40712946e-04  4.02246692e-03  1.62112993e-03  1.30000000e-07  4.34426777e-01  6.00000000e-01  1.10000000e+00 
